,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
137,1.2247052192687988,0.13288452464657044,0.11824913024902343,0.03454141829763074,0.001,"(50, 50)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 35}",0.7142857142857143,0.7554945054945055,0.7142857142857143,0.7472527472527473,0.717032967032967,0.7296703296703297,0.01793937111792802,81
138,1.4391088962554932,0.32813285911210166,0.10956397056579589,0.02831205703238256,0.001,"(50, 50)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 40}",0.7115384615384616,0.717032967032967,0.7005494505494505,0.7335164835164835,0.739010989010989,0.7203296703296703,0.0141583502491485,99
139,1.1063246250152587,0.1301141496880328,0.08918561935424804,0.017858954611081765,0.001,"(50, 50)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 45}",0.6923076923076923,0.5686813186813187,0.6071428571428571,0.5714285714285714,0.6730769230769231,0.6225274725274726,0.0513258577940956,242
140,1.1825437545776367,0.07827234233358672,0.11723222732543945,0.03238546739578301,0.001,"(50, 50)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 50}",0.7252747252747253,0.7005494505494505,0.6840659340659341,0.6868131868131868,0.6730769230769231,0.6939560439560439,0.017939371117928007,121
141,1.238721990585327,0.23700565511223673,0.1209322452545166,0.04608871625046621,0.001,"(50, 50)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 55}",0.6840659340659341,0.7115384615384616,0.6648351648351648,0.6401098901098901,0.5906593406593407,0.6582417582417582,0.04110242683354955,188
142,1.1848862171173096,0.27794726846629625,0.07035884857177735,0.009231247705006237,0.001,"(50, 50)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 60}",0.6785714285714286,0.6236263736263736,0.6538461538461539,0.6565934065934066,0.6263736263736264,0.6478021978021978,0.020514455717136792,202
143,0.7739791870117188,0.07476741672161834,0.06627287864685058,0.01150158626453785,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'filter__n': 2}",0.6785714285714286,0.6263736263736264,0.6208791208791209,0.5879120879120879,0.695054945054945,0.6417582417582418,0.03941517897683725,217
144,0.8590747833251953,0.12302827531732743,0.07880892753601074,0.01283608480737117,0.001,"(50,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'filter__n': 5}",0.6620879120879121,0.6978021978021978,0.6648351648351648,0.6016483516483516,0.7005494505494505,0.6653846153846154,0.03566776344421424,176
145,0.9982813835144043,0.19522359202664788,0.07836203575134278,0.025427305800264928,0.001,"(50,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'filter__n': 10}",0.6510989010989011,0.7664835164835165,0.7637362637362637,0.5879120879120879,0.7005494505494505,0.6939560439560439,0.06819830153550023,121
146,1.190277099609375,0.130358266554587,0.12112898826599121,0.04319541300273562,0.001,"(50,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'filter__n': 15}",0.7335164835164835,0.7939560439560439,0.7692307692307693,0.7527472527472527,0.7967032967032966,0.7692307692307692,0.024138332567570104,51
147,1.0319883346557617,0.2346118230978082,0.07937183380126953,0.012689517453297754,0.001,"(50,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'filter__n': 20}",0.7142857142857143,0.771978021978022,0.7362637362637363,0.739010989010989,0.7115384615384616,0.7346153846153847,0.02174325157957075,74
148,0.9984226703643799,0.21482156697021423,0.07655701637268067,0.02071317230740219,0.001,"(50,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'filter__n': 25}",0.7032967032967034,0.771978021978022,0.7197802197802198,0.7445054945054945,0.6840659340659341,0.7247252747252748,0.030857408971646096,93
149,1.00328369140625,0.1823803764826312,0.08511824607849121,0.021846055783050298,0.001,"(50,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'filter__n': 30}",0.7197802197802198,0.7115384615384616,0.6785714285714286,0.6758241758241759,0.7032967032967034,0.6978021978021978,0.01763385333613319,115
150,0.9386637210845947,0.10493626095567875,0.07715840339660644,0.019222873886276363,0.001,"(50,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'filter__n': 35}",0.7032967032967034,0.6483516483516484,0.6840659340659341,0.7197802197802198,0.7142857142857143,0.6939560439560439,0.02586505999107652,121
151,0.9754273414611816,0.1086459314824029,0.07964630126953125,0.019560680667111353,0.001,"(50,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'filter__n': 40}",0.6593406593406593,0.717032967032967,0.6813186813186813,0.6703296703296703,0.6840659340659341,0.6824175824175823,0.019394903950244836,148
