,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
167,6.391005373001098,1.4654182497033315,0.01414804458618164,0.0001750701246207112,0.0001,"(25, 25)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 25}",0.33375,0.3475,0.34875,0.3565,0.375,0.35229999999999995,0.013510551432121492,77
168,6.802050304412842,0.5980649469480952,0.01605563163757324,0.00014760212139982578,0.0001,"(25, 25)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 30}",0.33975,0.38575,0.358,0.38275,0.37425,0.3681,0.017144678474675455,49
169,8.763192081451416,0.9747044499231036,0.018677234649658203,0.0011520303538799688,0.0001,"(25, 25)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 35}",0.37725,0.4355,0.39825,0.38975,0.39775,0.3997,0.019445050784196997,24
170,9.001616191864013,2.0393261354489285,0.020135498046875,0.0001723652291120309,0.0001,"(25, 25)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 40}",0.39825,0.449,0.4315,0.428,0.408,0.42295,0.017948816116947666,6
171,2.271081876754761,0.30391352813430766,0.007750225067138672,0.00010872330572892297,0.0001,"(100, 25, 100)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 2}",0.103,0.10375,0.09275,0.09725,0.10275,0.0999,0.004259107887809368,163
172,3.9588395595550536,0.3884698354148964,0.009331560134887696,0.00018312158613001292,0.0001,"(100, 25, 100)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 5}",0.14425,0.1505,0.1385,0.17175,0.15425,0.15184999999999998,0.01130995137036407,143
173,4.541865062713623,1.9078499859486164,0.011434412002563477,0.00020985876908065213,0.0001,"(100, 25, 100)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 10}",0.206,0.2175,0.21125,0.22525,0.2245,0.21689999999999995,0.007464248120206086,121
174,5.5492040634155275,1.3600799622819006,0.013840484619140624,0.0008457452928282452,0.0001,"(100, 25, 100)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 15}",0.2965,0.2835,0.2625,0.3035,0.3025,0.28969999999999996,0.015354478174135381,103
175,7.143612241744995,1.5501211758196738,0.015278387069702148,5.272650459895736e-05,0.0001,"(100, 25, 100)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 20}",0.34,0.35,0.31525,0.34275,0.35425,0.34045,0.013580684813366379,81
176,7.521481609344482,1.6614561709032238,0.017713069915771484,0.0009981381441826456,0.0001,"(100, 25, 100)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 25}",0.34475,0.35125,0.35925,0.3535,0.3755,0.35685,0.010417053326157067,62
177,8.065421915054321,1.3611713605210363,0.019798851013183592,0.0005733303797053264,0.0001,"(100, 25, 100)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 30}",0.348,0.38575,0.367,0.386,0.37575,0.37249999999999994,0.014134178433853175,41
178,10.704802179336548,1.7326156699297706,0.022140932083129884,0.0009463712298713389,0.0001,"(100, 25, 100)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 35}",0.3835,0.43925,0.39475,0.3875,0.40175,0.40135,0.019952819349655815,21
179,12.19007363319397,3.4278197607102365,0.026581621170043944,0.002468962502495802,0.0001,"(100, 25, 100)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 40}",0.3985,0.4565,0.44125,0.416,0.4115,0.42474999999999996,0.021078424988599125,2
